id,season,city,date,team1,team2,toss_winner,toss_decision,result,dl_applied,winner,win_by_runs,win_by_wickets,player_of_match,venue,umpire1,umpire2,umpire3
1,2017,14,67,14,12,13,1,1,0,14,35,0,261,34,6,35,5
2,2017,28,84,7,10,11,1,1,0,11,0,7,225,25,1,50,5
3,2017,30,100,2,4,5,1,1,0,5,0,10,37,38,39,16,5
4,2017,15,123,11,8,9,1,1,0,9,0,6,68,16,3,14,5
5,2017,2,123,13,1,13,0,1,0,13,15,0,109,21,22,50,5
6,2017,14,143,2,13,14,1,1,0,14,0,9,197,34,0,35,5
7,2017,24,143,5,6,7,1,1,0,7,0,4,162,47,39,16,5
8,2017,15,163,13,8,13,0,1,0,9,0,8,20,16,3,14,5
9,2017,28,187,1,10,11,1,1,0,1,97,0,230,25,6,50,5
10,2017,24,208,14,6,7,1,1,0,7,0,4,93,47,39,16,5
11,2017,21,230,9,4,5,1,1,0,5,0,8,224,10,0,35,5
12,2017,2,252,13,6,7,1,1,0,7,0,4,102,21,31,4,5
13,2017,30,252,11,2,2,1,1,0,2,0,7,17,38,1,50,5
14,2017,21,274,5,13,14,1,1,0,5,17,0,194,10,6,35,5
15,2017,10,274,1,8,1,0,1,0,1,51,0,40,12,60,39,5
16,2017,24,297,2,6,7,1,1,0,7,0,6,162,47,1,50,5
17,2017,2,297,11,12,13,1,1,0,11,27,0,32,21,31,14,5
18,2017,10,320,1,4,1,0,1,0,5,0,4,163,12,39,16,5
19,2017,14,320,14,8,9,1,1,0,14,5,0,28,34,6,0,5
20,2017,30,344,13,2,2,1,1,0,13,21,0,38,38,49,63,5
21,2017,14,366,14,1,14,0,1,0,14,15,0,112,34,17,35,5
22,2017,15,392,9,6,7,1,1,0,7,0,8,87,16,33,14,5
23,2017,21,414,5,2,2,1,1,0,2,0,4,217,10,17,39,5
24,2017,24,434,7,1,1,1,1,0,7,14,0,140,47,1,50,5
25,2017,28,434,14,10,11,1,1,0,11,0,6,150,25,6,0,5
26,2017,30,456,9,2,2,1,1,0,9,26,0,72,38,3,33,5
27,2017,21,456,5,12,13,1,1,0,5,82,0,163,10,17,16,5
28,2017,24,478,11,6,7,1,1,0,11,3,0,32,47,1,50,5
29,2017,28,523,11,4,5,1,1,0,5,0,7,194,25,6,35,5
30,2017,2,538,13,2,2,1,1,0,2,0,7,17,21,3,14,5
31,2017,21,559,1,4,5,1,1,0,5,0,7,63,10,36,50,5
32,2017,7,559,14,8,9,1,1,0,14,26,0,197,32,39,16,5
33,2017,28,576,11,12,13,1,1,0,11,61,0,119,25,31,33,5
34,2017,30,576,2,6,2,0,2,0,7,0,0,105,38,3,15,5
35,2017,7,594,1,8,9,1,1,0,9,0,10,233,32,60,16,5
36,2017,14,594,14,4,5,1,1,0,14,48,0,45,34,6,50,5
37,2017,24,10,13,6,13,0,1,0,7,0,5,189,47,3,15,5
38,2017,28,10,2,10,11,1,1,0,11,0,5,32,25,33,14,5
39,2017,10,27,14,1,1,1,1,0,1,0,6,157,12,60,39,5
40,2017,21,43,5,10,11,1,1,0,11,0,4,187,10,31,1,5
41,2017,10,61,2,1,1,1,1,0,1,0,7,192,12,33,39,5
42,2017,2,77,9,12,13,1,1,0,9,19,0,233,21,17,14,5
43,2017,14,95,11,13,14,1,1,0,11,12,0,89,34,31,4,5
44,2017,10,95,7,1,1,1,1,0,7,146,0,121,12,39,16,5
45,2017,2,114,13,4,5,1,1,0,5,0,6,224,21,6,14,5
46,2017,7,114,9,2,2,1,1,0,2,0,6,55,32,1,63,5
47,2017,14,134,7,13,7,0,1,0,14,0,7,204,34,31,33,5
48,2017,7,155,9,4,5,1,1,0,9,14,0,145,32,1,50,5
49,2017,18,177,2,1,1,1,1,0,1,0,2,228,14,60,4,5
50,2017,24,199,9,6,7,1,1,0,9,7,0,254,47,0,1,5
51,2017,10,220,1,10,1,0,1,0,1,7,0,107,12,31,16,5
52,2017,18,242,2,13,14,1,1,0,14,0,8,158,14,3,39,5
53,2017,21,242,7,4,5,1,1,0,7,9,0,23,10,1,50,5
54,2017,28,265,9,10,11,1,1,0,11,0,9,89,25,6,0,5
55,2017,10,265,13,1,13,0,1,0,13,10,0,73,12,18,14,5
56,2017,24,309,11,6,7,1,1,0,11,20,0,256,47,49,14,5
57,2017,2,332,14,4,5,1,1,1,5,0,7,163,21,3,39,5
58,2017,2,380,5,6,7,1,1,0,7,0,6,113,21,36,39,5
59,2017,14,423,7,10,7,0,1,0,7,1,0,105,34,36,50,5
60,2008,2,335,5,12,13,1,1,0,5,140,0,33,21,10,44,5
61,2008,7,357,0,8,0,0,1,0,0,33,0,136,33,34,56,5
62,2008,10,357,10,1,10,0,1,0,1,0,9,137,12,7,19,5
63,2008,24,384,7,12,7,0,1,0,13,0,5,152,47,51,18,5
64,2008,21,384,14,4,14,0,1,0,5,0,5,49,10,11,27,5
65,2008,16,405,9,9,9,0,1,0,10,0,6,227,39,7,43,5
66,2008,14,425,14,1,14,0,1,0,1,0,9,251,34,23,6,5
67,2008,8,448,0,6,7,1,1,0,0,6,0,143,24,20,19,5
68,2008,14,469,14,9,10,1,1,0,10,0,3,258,34,10,34,5
69,2008,7,493,9,6,7,1,1,0,9,66,0,103,33,7,6,5
70,2008,2,515,13,9,10,1,1,0,10,0,7,227,21,34,22,5
71,2008,8,515,5,0,5,0,1,0,0,0,9,90,24,11,7,5
72,2008,24,530,7,13,14,1,1,0,14,0,10,11,7,10,56,5
73,2008,7,530,1,8,1,0,1,0,9,0,4,221,33,43,21,5
74,2008,2,551,0,12,0,0,1,0,0,13,0,150,21,14,43,5
75,2008,21,568,5,6,5,0,1,0,7,0,7,229,10,11,7,5
76,2008,10,586,1,12,13,1,1,0,1,10,0,65,12,7,21,5
77,2008,14,3,14,8,9,1,1,0,9,0,7,216,34,14,43,5
78,2008,16,3,10,4,10,0,1,0,10,45,0,211,39,43,19,5
79,2008,8,19,0,1,0,0,1,0,1,0,8,251,24,11,27,5
80,2008,14,505,14,12,14,0,1,0,13,0,5,185,34,10,44,5
81,2008,7,35,9,4,9,0,1,0,9,9,0,78,33,20,21,5
82,2008,24,53,7,1,1,1,1,0,7,29,0,222,7,23,44,5
83,2008,16,53,0,9,0,0,1,0,10,0,8,241,39,10,7,5
84,2008,2,69,13,8,9,1,1,0,9,0,6,210,21,51,12,5
85,2008,8,87,0,13,14,1,1,0,14,0,7,11,24,34,43,5
86,2008,24,106,10,6,7,1,1,0,7,0,7,4,7,20,44,5
87,2008,10,126,1,0,0,1,1,0,0,0,4,150,12,7,43,5
88,2008,21,126,5,12,5,0,1,0,5,5,0,215,10,10,22,5
89,2008,16,147,14,9,10,1,1,0,10,0,8,258,39,34,6,5
